Position	PM1	PM2A
1	NegativeControl	NegativeControl
2	L_Arabinose	ChondroitinSulfateC
3	N_Acetyl_D_Glucosamine	a_Cyclodextrin
4	D_SaccharicAcid	b_Cyclodextrin
5	SuccinicAcid	g_Cyclodextrin
6	D_Galactose	Dextrin
7	L_AsparticAcid	Gelatin
8	L_Proline	Glycogen
9	D_Alanine	Inulin
10	D_Trehalose	Laminarin
11	D_Mannose	Mannan
12	Dulcitol	Pectin
13	D_Serine	N_Acetyl_D_Galactosamine
14	D_Sorbitol	N_Acetyl_NeuraminicAcid
15	Glycerol	b_D_Allose
16	L_Fucose	Amygdalin
17	D_GlucuronicAcid	D_Arabinose
18	D_GluconicAcid	D_Arabitol
19	D_L_a_Glycerol_Phosphate	L_Arabitol
20	D_Xylose	Arbutin
21	L_LacticAcid	Two_Deoxy_D_Ribose
22	FormicAcid	I_Erythritol
23	D_Mannitol	D_Fucose
24	L_GlutamicAcid	Three_0_b_D_Galacto_pyranosyl_D_Arabinose
25	Glucose_6_Phosphate	Gentiobiose
26	D_GalactonicAcid_g_Lactone	L_Glucose
27	D_L_MalicAcid	Lactitol
28	D_Ribose	D_Melezitose
29	Tween20	Maltitol
30	L_Rhamnose	a_Methyl_D_Glucoside
31	D_Fructose	b_Methyl_D_Galactoside
32	AceticAcid	Three_MethylGlucose
33	a_D_Glucose	b_Methyl_D_GlucuronicAcid
34	Maltose	a_Methyl_D_Mannoside
35	D_Melibiose	b_Methyl_D_Xyloside
36	Thymidine	Palatinose
37	L_Asparagine	D_Raffinose
38	D_AsparticAcid	Salicin
39	D_GlucosaminicAcid	Sedoheptulosan
40	1_2_Propanediol	L_Sorbose
41	Tween40	Stachyose
42	a_Keto_GlutaricAcid	D_Tagatose
43	a_Keto_ButyricAcid	Turanose
44	a_Methyl_D_Galactoside	Xylitol
45	a_D_Lactose	N_Acetyl_D_Glucosaminitol
46	Lactulose	g_AminoButyricAcid
47	Sucrose	d_AminoValericAcid
48	Uridine	ButyricAcid
49	L_Glutamine	CapricAcid
50	M_TartaricAcid	CaproicAcid
51	Glucose_1_Phosphate	CitraconicAcid
52	Fructose_6_Phosphate	CitramalicAcid
53	Tween80	D_Glucosamine
54	a_HydroxyGlutaricAcid_g_Lactone	Two_HydroxyBenzoicAcid
55	a_HydroxyButyricacid	Four_HydroxyBenzoicAcid
56	b_Methyl_D_Glucoside	b_HydroxyButyricAcid
57	Adonitol	g_HydroxyButyricAcid
58	Maltotriose	a_KetoValericAcid
59	Two_DeoxyAdenosine	ItaconicAcid
60	Adenosine	Five_Keto_D_GluconicAcid
61	Glycyl_L_AsparticAcid	D_LacticAcidMethylEster
62	CitricAcid	MalonicAcid
63	M_Inositol	MelibionicAcid
64	D_Threonine	OxalicAcid
65	FumaricAcid	OxalomalicAcid
66	BromoSuccinicAcid	QuinicAcid
67	Propionicacid	D_Ribono_1_4_Lactone
68	MucicAcid	SebacicAcid
69	GlycolicAcid	SorbicAcid
70	GlyoxylicAcid	SuccinamicAcid
71	D_Cellobiose	D_TartaricAcid
72	Inosine	L_TartaricAcid
73	Glycyl_L_GlutamicAcid	Acetamide
74	TricarballylicAcid	L_Alaninamide
75	L_Serine	N_Acetyl_L_GlutamicAcid
76	L_Threonine	L_Arginine
77	L_Alanine	Glycine
78	L_Alanyl_Glycine	L_Histidine
79	Acetoaceticacid	L_Homoserine
80	N_Acetyl_b_D_Mannosamine	Hydroxy_L_Proline
81	MonoMethylSuccinate	L_Isoleucine
82	MethylPyruvate	L_Leucine
83	D_MalicAcid	L_Lysine
84	L_MalicAcid	L_Methionine
85	Glycyl_L_Proline	L_Ornithine
86	P_HydroxyPhenylAceticAcid	L_Phenylalanine
87	M_HydroxyPhenylAceticAcid	L_PyroglutamicAcid
88	Tyramine	L_Valine
89	D_Psicose	D_L_Carnitine
90	L_Lyxose	Sec_Butylamine
91	Glucuronamide	D_L_Octopamine
92	PyruvicAcid	Putrescine
93	L_GalactonicAcid_g_Lactone	DihydroxyAcetone
94	D_GalacturonicAcid	Two_three_Butanediol
95	Phenylethyl_amine	Two_three_Butanedione
96	Two_Aminoethanol	Three_Hydroxy2_Butanone
