model	objective	gene	status	value
./model.xml	obj	G_PA14_00060	optimal	1.5908505726730064
./model.xml	obj	G_PA14_00070	optimal	0.0
./model.xml	obj	G_PA14_00120	optimal	1.5908505726730062
./model.xml	obj	G_PA14_00170	optimal	1.5908505726730062
./model.xml	obj	G_PA14_00250	optimal	1.5908505726730169
./model.xml	obj	G_PA14_00280	optimal	1.5908505726730091
./model.xml	obj	G_PA14_00290	optimal	1.5908505726730273
./model.xml	obj	G_PA14_00340	optimal	1.5908505726730215
./model.xml	obj	G_PA14_00360	optimal	1.5908505726730215
./model.xml	obj	G_PA14_00380	optimal	1.5908505726730215
./model.xml	obj	G_PA14_00440	optimal	1.590850572673076
./model.xml	obj	G_PA14_00450	optimal	1.590850572673076
./model.xml	obj	G_PA14_00640	optimal	1.5908505726730224
./model.xml	obj	G_PA14_01240	optimal	1.5908505726730091
./model.xml	obj	G_PA14_01290	optimal	1.3635023306433787
./model.xml	obj	G_PA14_01300	optimal	1.3635023306433787
./model.xml	obj	G_PA14_01310	optimal	1.3635023306433787
./model.xml	obj	G_PA14_01320	optimal	1.3635023306433787
./model.xml	obj	G_PA14_01380	optimal	1.5908505726730084
./model.xml	obj	G_PA14_01460	optimal	1.590850572673017
./model.xml	obj	G_PA14_01580	optimal	1.5908505726730207
./model.xml	obj	G_PA14_01600	optimal	1.433622289772684
./model.xml	obj	G_PA14_01620	optimal	1.4336222897727038
./model.xml	obj	G_PA14_01660	optimal	1.5908505726730202
./model.xml	obj	G_PA14_01710	optimal	1.590850572673017
./model.xml	obj	G_PA14_01760	optimal	1.5908505726730091
./model.xml	obj	G_PA14_01770	optimal	1.5908505726730247
./model.xml	obj	G_PA14_01830	optimal	1.590850572673004
./model.xml	obj	G_PA14_01900	optimal	1.5908505726730124
./model.xml	obj	G_PA14_01910	optimal	1.5908505726730124
./model.xml	obj	G_PA14_02020	optimal	1.5734759762847355
./model.xml	obj	G_PA14_02060	optimal	1.5908505726730247
./model.xml	obj	G_PA14_02070	optimal	1.5908505726730169
./model.xml	obj	G_PA14_02110	optimal	1.5908505726730198
./model.xml	obj	G_PA14_02330	optimal	1.590850572673035
./model.xml	obj	G_PA14_02340	optimal	1.5908505726730062
./model.xml	obj	G_PA14_02450	optimal	1.590850572672988
./model.xml	obj	G_PA14_02460	optimal	1.590850572672988
./model.xml	obj	G_PA14_02470	optimal	1.590850572672988
./model.xml	obj	G_PA14_02550	optimal	1.5908505726730202
./model.xml	obj	G_PA14_02570	optimal	1.5908505726730202
./model.xml	obj	G_PA14_02580	optimal	1.590850572673052
./model.xml	obj	G_PA14_02590	optimal	1.590850572673052
./model.xml	obj	G_PA14_02620	optimal	1.5908505726730306
./model.xml	obj	G_PA14_02630	optimal	1.5908505726730222
./model.xml	obj	G_PA14_02640	optimal	1.5908505726730222
./model.xml	obj	G_PA14_02680	optimal	1.5908505726730349
./model.xml	obj	G_PA14_02790	optimal	1.5908505726730224
./model.xml	obj	G_PA14_02810	optimal	1.5908505726730071
./model.xml	obj	G_PA14_02830	optimal	1.590850572672965
./model.xml	obj	G_PA14_02840	optimal	1.5908505726729945
./model.xml	obj	G_PA14_02850	optimal	1.5908505726730071
./model.xml	obj	G_PA14_02900	optimal	1.5908505726730104
./model.xml	obj	G_PA14_02930	optimal	1.5908505726730209
./model.xml	obj	G_PA14_02980	optimal	1.5908505726730202
./model.xml	obj	G_PA14_03000	optimal	1.5908505726730107
./model.xml	obj	G_PA14_03020	optimal	1.5908505726730349
./model.xml	obj	G_PA14_03030	optimal	1.5908505726730107
./model.xml	obj	G_PA14_03050	optimal	1.5908505726730071
./model.xml	obj	G_PA14_03130	optimal	1.5908505726730349
./model.xml	obj	G_PA14_03330	optimal	1.5908505726730084
./model.xml	obj	G_PA14_03430	optimal	1.5875364359284736
./model.xml	obj	G_PA14_03450	optimal	1.5875364359284836
./model.xml	obj	G_PA14_03550	optimal	1.5908505726730349
./model.xml	obj	G_PA14_03590	optimal	1.5908505726730104
./model.xml	obj	G_PA14_03650	optimal	1.5908505726730293
./model.xml	obj	G_PA14_03670	optimal	1.5908505726730293
./model.xml	obj	G_PA14_03680	optimal	1.5908505726730293
./model.xml	obj	G_PA14_03700	optimal	1.5908505726730293
./model.xml	obj	G_PA14_03770	optimal	1.5908505726730187
./model.xml	obj	G_PA14_03800	optimal	1.5908505726730047
./model.xml	obj	G_PA14_03810	optimal	1.5908505726730298
./model.xml	obj	G_PA14_03830	optimal	1.5908505726730169
./model.xml	obj	G_PA14_03870	optimal	1.590850572673012
