model	objective	reaction	status	value
./model.xml	obj	R_1PPDCRc	optimal	1.5908505726730295
./model.xml	obj	R_23DHBSpp	optimal	1.5908505726730169
./model.xml	obj	R_2AGPE140tipp	optimal	1.5908505726730313
./model.xml	obj	R_2AGPE141tipp	optimal	1.5908505726729993
./model.xml	obj	R_2AGPG140tipp	optimal	1.590850572673026
./model.xml	obj	R_2AGPG141tipp	optimal	1.5908505726730198
./model.xml	obj	R_2DHGLCK	optimal	1.5908505726730524
./model.xml	obj	R_2DHGLCNkt_tpp	optimal	1.590850572673019
./model.xml	obj	R_2DHGLCNtex	optimal	1.590850572673024
./model.xml	obj	R_2HH24DDH1	optimal	1.5908505726730398
./model.xml	obj	R_2MAHMP	optimal	1.5908505726730227
./model.xml	obj	R_34HPPOR	optimal	1.5908505726730149
./model.xml	obj	R_3AMACHYD	optimal	1.590850572673008
./model.xml	obj	R_3HAACOAT100	optimal	1.5908505726730164
./model.xml	obj	R_3HAACOAT120	optimal	1.5908505726730158
./model.xml	obj	R_3HAACOAT121	optimal	1.590850572673015
./model.xml	obj	R_3HAACOAT140	optimal	1.590850572673023
./model.xml	obj	R_3HAACOAT141	optimal	1.5908505726730242
./model.xml	obj	R_3HAACOAT60	optimal	1.587536435928463
./model.xml	obj	R_3HAACOAT80	optimal	1.5908505726730147
./model.xml	obj	R_3HAD100	optimal	1.5046591652582029
./model.xml	obj	R_3HAD120	optimal	1.5734511506425466
./model.xml	obj	R_3HAD121	optimal	1.568645630462384
./model.xml	obj	R_3HAD140	optimal	1.5809909080386522
./model.xml	obj	R_3HAD141	optimal	1.5686456304623608
./model.xml	obj	R_3HAD160	optimal	1.5809909080934033
./model.xml	obj	R_3HAD161	optimal	1.5686456304623615
./model.xml	obj	R_3HAD180	optimal	1.5902673455203233
./model.xml	obj	R_3HAD181	optimal	1.566547677917449
./model.xml	obj	R_3HAD40	optimal	1.5908505726730138
./model.xml	obj	R_3HAD60	optimal	1.4946997465021359
./model.xml	obj	R_3HAD80	optimal	1.494699746502129
./model.xml	obj	R_3HBCOAHL	optimal	1.5908505726730127
./model.xml	obj	R_3HOXPACt2pp	optimal	1.5908505726729838
./model.xml	obj	R_3HPAOX	optimal	1.5908505726730102
./model.xml	obj	R_3MBt2pp	optimal	1.5908505726730189
./model.xml	obj	R_3MBtex	optimal	1.590850572673023
./model.xml	obj	R_3OADPCOAT	optimal	1.5908505726730222
./model.xml	obj	R_3OAR100	optimal	1.4946997465021186
./model.xml	obj	R_3OAR120	optimal	1.5746094375134596
./model.xml	obj	R_3OAR121	optimal	1.568645630462368
./model.xml	obj	R_3OAR140	optimal	1.57973701576086
./model.xml	obj	R_3OAR141	optimal	1.5686456304623624
./model.xml	obj	R_3OAR160	optimal	1.5809909080934084
./model.xml	obj	R_3OAR161	optimal	1.5686456304623735
./model.xml	obj	R_3OAR180	optimal	1.5902673455203107
./model.xml	obj	R_3OAR181	optimal	1.5665476779174603
./model.xml	obj	R_3OAR40	optimal	1.590850572673005
./model.xml	obj	R_3OAR60	optimal	1.590850572673024
./model.xml	obj	R_3OAR80	optimal	1.49469974650212
